,ch_MGPC 1;ms_12+24hr MG,ch_MGPC 1;ms_12+24hr MG_pval1,ch_MGPC 1;ms_12+24hr MG_pval2,ch_MGPC 2;ms_12+24hr MG,ch_MGPC 2;ms_12+24hr MG_pval1,ch_MGPC 2;ms_12+24hr MG_pval2,ch_MGPC 2;ms_36+48+72hr MG,ch_MGPC 2;ms_36+48+72hr MG_pval1,ch_MGPC 2;ms_36+48+72hr MG_pval2,ch_activated 1 MG;ms_6hr MG,ch_activated 1 MG;ms_6hr MG_pval1,ch_activated 1 MG;ms_6hr MG_pval2,ch_activated 2 MG;ms_12+24hr MG,ch_activated 2 MG;ms_12+24hr MG_pval1,ch_activated 2 MG;ms_12+24hr MG_pval2,ch_activated 2 MG;ms_6hr MG,ch_activated 2 MG;ms_6hr MG_pval1,ch_activated 2 MG;ms_6hr MG_pval2,ch_activated 3 MG;ms_6hr MG,ch_activated 3 MG;ms_6hr MG_pval1,ch_activated 3 MG;ms_6hr MG_pval2,ch_early activated MG;ms_3hr MG,ch_early activated MG;ms_3hr MG_pval1,ch_early activated MG;ms_3hr MG_pval2,ch_resting MG;ms_36+48+72hr MG,ch_resting MG;ms_36+48+72hr MG_pval1,ch_resting MG;ms_36+48+72hr MG_pval2,ch_resting MG;ms_ctrl MG,ch_resting MG;ms_ctrl MG_pval1,ch_resting MG;ms_ctrl MG_pval2
0,ch_FABP5;ms_Rbp1,4.4769797712794e-33,5.155807865908543e-30,ch_TUBB6;ms_Tubb5,3.117205901480527e-33,2.5180912990928025e-68,ch_SYNM;ms_Gfap,1.1498513381754351e-42,8.817874908595654e-48,ch_GAP43;ms_Gap43,1.712195764638349e-26,3.2016020560258753e-92,ch_NPM3;ms_Npm1,1.277091456554608e-130,9.761588661072828e-82,ch_NPM3;ms_Npm1,1.277091456554608e-130,1.8035813829974252e-127,ch_SCG2;ms_Scg2,6.653683582555884e-23,5.9234041305671956e-139,ch_RASL11A;ms_Rras2,1.1940243014141357e-67,4.58638110199424e-156,ch_DDR1;ms_Kdr,1.4013566080743358e-23,4.090730688205719e-76,ch_GPR37L1;ms_Gpr37,2.6670746364329546e-152,0.0
1,ch_TMSB4X;ms_Tmsb10,3.414053031596166e-88,1.286183857244441e-34,ch_FABP5;ms_Rbp1,6.609010106006097e-65,5.155807865908543e-30,ch_CRYM;ms_Crym,1.42156648885852e-76,4.000548607766139e-69,ch_HBEGF;ms_Hbegf,4.00196565798164e-23,6.168080862989073e-227,ch_NPM3;ms_Npm3,1.277091456554608e-130,7.825812676523792e-17,ch_NOP58;ms_Nop56,9.504912773855745e-122,1.289841433107734e-79,ch_TAGLN3;ms_Tagln2,1.0549211299061318e-14,4.022771389917691e-33,ch_RASL11A;ms_Rrad,1.1940243014141357e-67,2.573473206208736e-85,ch_KDR;ms_Kdr,3.989469042251266e-31,4.090730688205719e-76,ch_RAX;ms_Rax,1.890406377668988e-84,2.1175638881132742e-209
2,ch_FABP7;ms_Rbp1,6.243896234211462e-75,5.155807865908543e-30,ch_CRYM;ms_Crym,1.42156648885852e-76,1.9812240709479258e-24,ch_SERPINE2;ms_Serping1,1.8304693936072984e-73,0.0010777633681679172,ch_NOP58;ms_Nop56,4.4190120132652254e-20,1.289841433107734e-79,ch_NOP58;ms_Nop56,9.504912773855745e-122,5.20936706983637e-11,ch_HBEGF;ms_Hbegf,5.85525017679775e-110,6.168080862989073e-227,ch_NPM3;ms_Npm1,0.00186623515608672,1.8035813829974252e-127,ch_MAFF;ms_Maff,3.953962230777966e-48,0.0,ch_GPR37L1;ms_Gpr37,2.6670746364329546e-152,2.5120223781502496e-29,ch_RAX;ms_Pax6,1.890406377668988e-84,5.63703016486163e-297
3,ch_TUBB2B;ms_Tubb5,1.643582170323516e-31,2.5180912990928025e-68,ch_TMEM258;ms_Tmem258,6.530586554326713e-63,3.067222658509795e-15,ch_FABP5;ms_Rbp1,6.609010106006097e-65,7.577431355901069e-59,ch_SDC4;ms_Sdc4,1.2788175197146984e-26,9.787006445226174e-88,ch_EBNA1BP2;ms_Ebna1bp2,5.970145607490213e-100,1.9862433344226627e-29,ch_CD44;ms_Cd44,8.653837398770588e-37,6.0057531302399045e-121,ch_EVL;ms_Vasp,0.0020757587845280216,1.237207552856691e-63,ch_TRIB2;ms_Trib1,7.578383082288543e-182,3.870146774177357e-214,ch_CSPG5;ms_Cspg5,1.4002782142340826e-117,9.625253916601197e-37,ch_CA2;ms_Car14,0.0,1.447917689380957e-299
4,ch_TUBA1A;ms_Tubb5,3.518718996515981e-74,2.5180912990928025e-68,ch_ARPC1A;ms_Arpc1b,7.453821634102527e-51,3.0526088917292424e-12,ch_TUBB6;ms_Tubb5,3.117205901480527e-33,2.6536177862560447e-24,ch_EVL;ms_Vasp,3.6917610294454177e-37,1.237207552856691e-63,ch_TRA2B;ms_Rbm3,7.752082571071204e-41,4.714630351088686e-84,ch_NOP58;ms_Nop58,9.504912773855745e-122,9.901151749087943e-47,ch_SLC25A6;ms_Slc25a5,6.154903213687251e-19,2.222898966786984e-89,ch_RASL11A;ms_Gem,1.1940243014141357e-67,3.7203467464995047e-113,ch_RAX;ms_Pax6,1.890406377668988e-84,1.6074080530584534e-25,ch_PAX6;ms_Pax6,2.0747822611999676e-87,5.63703016486163e-297
5,ch_TMSB4X;ms_Tmsb4x,3.414053031596166e-88,1.1429981467931074e-109,ch_SYNM;ms_Gfap,1.1498513381754351e-42,0.00359747653650647,ch_CHL1;ms_Chl1,7.852347920369813e-10,3.0764671126323025e-18,ch_VMP1;ms_Vmp1,7.094026529262752e-33,3.2202569221614867e-34,ch_C1QBP;ms_C1qbp,3.967705670948219e-148,2.8488227087800983e-30,ch_SDC4;ms_Sdc4,8.996553369508632e-113,9.787006445226174e-88,ch_HSPA8;ms_Hspa5,4.257118619829533e-47,3.946418893824603e-67,ch_RASL11A;ms_Rheb,1.1940243014141357e-67,4.692744026062988e-131,ch_SCD5;ms_Scd2,3.0200280876226168e-33,3.7054244737809307e-32,ch_AQP4;ms_Aqp4,7.921104978385484e-44,2.2030023767928588e-238
6,ch_RPLP2;ms_Rplp2,2.1001415020906613e-94,4.9555510651814626e-129,ch_DYL1;ms_Dynll1,2.787966732325921e-88,0.0004972986961104173,ch_TOP2A;ms_Top2b,1.7735943310719262e-28,0.0007327241330599076,ch_TUBB6;ms_Tuba1c,4.3782339126254484e-10,2.0046884488100718e-52,ch_HNRNPDL;ms_Rbm3,3.9811770835106373e-107,4.714630351088686e-84,ch_TUBB6;ms_Tuba1c,2.9765299222492144e-63,2.0046884488100718e-52,ch_NCL;ms_Pabpc1,1.5059335797437329e-13,7.255371537464843e-114,ch_CREM;ms_Crem,7.009264581453984e-160,2.4892735379460657e-176,ch_CNTN1;ms_Cntn1,4.5104067104666444e-133,1.1769887920219809e-07,ch_CSPG5;ms_Cspg5,1.4002782142340826e-117,1.5233428227750464e-92
7,ch_RPS2;ms_Rps2,1.4183603966264486e-43,2.1748465804412846e-144,ch_NHP2;ms_Nhp2,4.138683613201703e-13,9.587037052444373e-46,ch_MARCKS;ms_Marcks,9.039710736287623e-52,4.564215050586622e-05,ch_S100A10;ms_S100a10,1.949570590739535e-29,5.454248775867835e-166,ch_IMPDH2;ms_Impdh2,1.6286611784640858e-29,3.755456188688585e-18,ch_NPM3;ms_Npm3,1.277091456554608e-130,1.3106992799473978e-12,ch_NCL;ms_Ncl,1.5059335797437329e-13,5.4964766671099125e-129,ch_ARID5B;ms_Arid5b,1.0119245415442576e-50,0.0,ch_SIX6;ms_Six3,7.620891904310133e-63,1.5176011276353515e-19,ch_HLF;ms_Dbp,3.3996718441702104e-68,0.0
8,ch_RPS28;ms_Rps28,1.3883848374979677e-66,2.2141017282367796e-72,ch_RANBP1;ms_Ranbp1,2.5439504728770974e-13,3.720719796800914e-73,ch_LAMP1;ms_Lamp2,2.6753485211289628e-27,2.714329874596226e-05,ch_NOP58;ms_Nop58,4.4190120132652254e-20,9.901151749087943e-47,ch_NOP56;ms_Nop56,8.076896972217537e-62,5.20936706983637e-11,ch_NOP56;ms_Nop56,8.076896972217537e-62,1.289841433107734e-79,ch_TXN;ms_Txn1,3.0219611800435536e-68,4.7038979927885946e-31,ch_RASL11A;ms_Mras,1.1940243014141357e-67,1.1645069540477512e-44,ch_NOTCH1;ms_Notch2,2.1752053296281267e-76,2.13113702115625e-10,ch_RAX;ms_Lhx2,1.890406377668988e-84,7.477314006856644e-78
9,ch_TUBB4B;ms_Tubb5,5.506217786393158e-15,2.5180912990928025e-68,ch_TUBB6;ms_Tuba1b,3.117205901480527e-33,3.4239202540236395e-39,ch_ATP1B3;ms_Atp1b3,1.3857856818551384e-72,0.00024594888270688226,ch_TUBB6;ms_Tubb2b,4.3782339126254484e-10,6.394456192695269e-46,ch_PPID;ms_Ppid,5.148981006275478e-71,2.1453867262777015e-07,ch_MSN;ms_Msn,4.627626433122894e-115,6.46505848451629e-132,ch_HSPA8;ms_Hspa9,4.257118619829533e-47,7.032363408215099e-41,ch_MAFK;ms_Maff,4.8150570524579085e-31,0.0,ch_PAX6;ms_Pax6,2.0747822611999676e-87,1.6074080530584534e-25,ch_COL5A1;ms_Col9a1,3.580883330195753e-58,1.4153433837152728e-147
