,ch_NM12hrs;ms_12+24hr MG,ch_NM12hrs;ms_12+24hr MG_pval1,ch_NM12hrs;ms_12+24hr MG_pval2,ch_NM12hrs;ms_6hr MG,ch_NM12hrs;ms_6hr MG_pval1,ch_NM12hrs;ms_6hr MG_pval2,ch_NM3hrs;ms_3hr MG,ch_NM3hrs;ms_3hr MG_pval1,ch_NM3hrs;ms_3hr MG_pval2,ch_NM48hrs;ms_12+24hr MG,ch_NM48hrs;ms_12+24hr MG_pval1,ch_NM48hrs;ms_12+24hr MG_pval2,ch_NM48hrs;ms_36+48+72hr MG,ch_NM48hrs;ms_36+48+72hr MG_pval1,ch_NM48hrs;ms_36+48+72hr MG_pval2,ch_saline;ms_36+48+72hr MG,ch_saline;ms_36+48+72hr MG_pval1,ch_saline;ms_36+48+72hr MG_pval2,ch_saline;ms_ctrl MG,ch_saline;ms_ctrl MG_pval1,ch_saline;ms_ctrl MG_pval2
0,ch_NPM3;ms_Npm1,1.4934663217021786e-115,9.761588661072828e-82,ch_HBEGF;ms_Hbegf,1.5853561498553356e-134,6.168080862989073e-227,ch_RASL11A;ms_Rras2,4.888583996493746e-60,4.58638110199424e-156,ch_FABP5;ms_Rbp1,5.343333195130259e-96,5.155807865908543e-30,ch_SYNM;ms_Gfap,3.440727502793056e-30,8.817874908595654e-48,ch_DDR1;ms_Kdr,8.790888964431511e-27,4.090730688205719e-76,ch_GPR37L1;ms_Gpr37,1.762110440220085e-168,0.0
1,ch_NPM3;ms_Npm3,1.4934663217021786e-115,7.825812676523792e-17,ch_NOP58;ms_Nop56,5.879941354158659e-137,1.289841433107734e-79,ch_RASL11A;ms_Rrad,4.888583996493746e-60,2.573473206208736e-85,ch_TUBB2B;ms_Tubb5,5.642952737099217e-89,2.5180912990928025e-68,ch_FABP5;ms_Rbp1,5.343333195130259e-96,7.577431355901069e-59,ch_KDR;ms_Kdr,1.7563709451548708e-44,4.090730688205719e-76,ch_RAX;ms_Rax,1.5110352791493892e-117,2.1175638881132742e-209
2,ch_EBNA1BP2;ms_Ebna1bp2,2.5364935801826925e-73,1.9862433344226627e-29,ch_NPM3;ms_Npm1,1.4934663217021786e-115,1.8035813829974252e-127,ch_MAFF;ms_Maff,2.432326356300298e-38,0.0,ch_TUBB4B;ms_Tubb5,2.90883712577639e-68,2.5180912990928025e-68,ch_CRYM;ms_Crym,1.2591571761707562e-62,4.000548607766139e-69,ch_GPR37L1;ms_Gpr37,1.762110440220085e-168,2.5120223781502496e-29,ch_RAX;ms_Pax6,1.5110352791493892e-117,5.63703016486163e-297
3,ch_NOP58;ms_Nop56,5.879941354158659e-137,5.20936706983637e-11,ch_GAP43;ms_Gap43,1.7221130330180956e-53,3.2016020560258753e-92,ch_RASL11A;ms_Gem,4.888583996493746e-60,3.7203467464995047e-113,ch_DYL1;ms_Dynll1,9.696518043108785e-90,0.0004972986961104173,ch_SERPINE2;ms_Serping1,6.008250459614126e-38,0.0010777633681679172,ch_CSPG5;ms_Cspg5,1.424958223564457e-134,9.625253916601197e-37,ch_AQP4;ms_Aqp4,3.420545295272863e-47,2.2030023767928588e-238
4,ch_TRA2B;ms_Rbm3,2.570699218133596e-53,4.714630351088686e-84,ch_SDC4;ms_Sdc4,3.471777523915274e-135,9.787006445226174e-88,ch_CREM;ms_Crem,1.309891350187833e-150,2.4892735379460657e-176,ch_TMEM258;ms_Tmem258,9.777274146073576e-34,3.067222658509795e-15,ch_TOP2A;ms_Top2b,7.55633450480726e-44,0.0007327241330599076,ch_RAX;ms_Pax6,1.5110352791493892e-117,1.6074080530584534e-25,ch_PAX6;ms_Pax6,2.6969085442975656e-98,5.63703016486163e-297
5,ch_C1QBP;ms_C1qbp,9.400810527735844e-153,2.8488227087800983e-30,ch_EVL;ms_Vasp,5.1149716720497245e-183,1.237207552856691e-63,ch_TRIB2;ms_Trib1,9.104450582840671e-135,3.870146774177357e-214,ch_CRYM;ms_Crym,1.2591571761707562e-62,1.9812240709479258e-24,ch_TUBB4B;ms_Tubb5,2.90883712577639e-68,2.6536177862560447e-24,ch_SCD5;ms_Scd2,1.1166918643711359e-46,3.7054244737809307e-32,ch_CSPG5;ms_Cspg5,1.424958223564457e-134,1.5233428227750464e-92
6,ch_HNRNPDL;ms_Rbm3,5.800022015537665e-98,4.714630351088686e-84,ch_NOP58;ms_Nop58,5.879941354158659e-137,9.901151749087943e-47,ch_RASL11A;ms_Rheb,4.888583996493746e-60,4.692744026062988e-131,ch_S100A6;ms_S100a6,3.6554569322275494e-72,1.6943733123074443e-47,ch_FABP7;ms_Rbp1,1.2928697006726585e-63,7.577431355901069e-59,ch_SIX6;ms_Six3,4.894820878815519e-81,1.5176011276353515e-19,ch_CA2;ms_Car14,0.0,1.447917689380957e-299
7,ch_EIF5A2;ms_Eif5a,7.112725406880194e-141,1.5521957206329389e-84,ch_MSN;ms_Msn,1.496405939868402e-104,6.46505848451629e-132,ch_IFRD1;ms_Ifrd1,1.6010892187745206e-49,0.0,ch_ARPC1A;ms_Arpc1b,2.8333286885968125e-49,3.0526088917292424e-12,ch_TUBB2B;ms_Tubb5,5.642952737099217e-89,2.6536177862560447e-24,ch_PAX6;ms_Pax6,2.6969085442975656e-98,1.6074080530584534e-25,ch_COL5A1;ms_Col9a1,2.408733311502372e-93,1.4153433837152728e-147
8,ch_EIF3G;ms_Rbm3,7.414646081542028e-68,4.714630351088686e-84,ch_CD44;ms_Cd44,5.016712239230248e-33,6.0057531302399045e-121,ch_MAFK;ms_Maff,1.5350448948743042e-25,0.0,ch_FABP5;ms_Fabp5,5.343333195130259e-96,4.9979518213564e-17,ch_TUBB6;ms_Tubb5,9.550795510904938e-14,2.6536177862560447e-24,ch_CNTN1;ms_Cntn1,5.3425641033843256e-158,1.1769887920219809e-07,ch_RAX;ms_Lhx2,1.5110352791493892e-117,7.477314006856644e-78
9,ch_RANBP1;ms_Ranbp1,2.6222046223046615e-21,3.720719796800914e-73,ch_VMP1;ms_Vmp1,6.295040172317919e-145,3.2202569221614867e-34,ch_RASL11A;ms_Mras,4.888583996493746e-60,1.1645069540477512e-44,ch_TUBB6;ms_Tubb5,9.550795510904938e-14,2.5180912990928025e-68,ch_LAMP1;ms_Lamp2,1.4582799119969514e-20,2.714329874596226e-05,ch_NOTCH1;ms_Notch2,4.238225254592138e-89,2.13113702115625e-10,ch_NFIL3;ms_Dbp,1.2125637529543597e-19,0.0
